	ID	Label	Equivalent axioms	Equivalent relationship axioms
44		pericyte cell of myenteric nerve plexus	CL:0000669	UBERON:0002439
45		pericyte cell of submucosa of colon	CL:0000669	UBERON:0003331
46		pericyte cell of myenteric plexus of Auerbach	CL:0000669	UBERON:0002439
47		pericyte cell of lamina propria	CL:0000669	UBERON:0007177
48		pericyte cell of submucosa of colon	CL:0000669	UBERON:0003331
49		pericyte cell of large intestine smooth muscle circular layer	CL:0000669	UBERON:0012398
50		pericyte cell of circular muscle layer	CL:0000669	UBERON:0012398
51		enterocyte of epithelium of large intestine of colonic epithelium	CL:0002071	UBERON:0000397
52		enterocyte of epithelium of large intestine of surface epithelium	CL:0002071	UBERON:0000397
53		endothelial cell of lymphatic vessel of efferent lymphatic vessel	CL:0002138	UBERON:0010397
54		endothelial cell of lymphatic vessel of myenteric plexus of Auerbach	CL:0002138	UBERON:0002439
55		endothelial cell of lymphatic vessel of lymphatic vessel	CL:0002138	UBERON:0001473
56		endothelial cell of lymphatic vessel of lymphatic vessel	CL:0002138	UBERON:0001473
57		endothelial cell of lymphatic vessel of efferent lymphatic vessel	CL:0002138	UBERON:0010397
58		endothelial cell of lymphatic vessel of large intestine smooth muscle longitudinal layer	CL:0002138	UBERON:0012399
59		endothelial cell of lymphatic vessel of longitudinal muscle layer	CL:0002138	UBERON:0012399
60		endothelial cell of lymphatic vessel of circular muscle layer	CL:0002138	UBERON:0012398
61		endothelial cell of lymphatic vessel of myenteric nerve plexus	CL:0002138	UBERON:0002439
62		endothelial cell of lymphatic vessel of large intestine smooth muscle circular layer	CL:0002138	UBERON:0012398
63		endothelial cell of lymphatic vessel of lamina propria	CL:0002138	UBERON:0007177
64		endothelial cell of lymphatic vessel of lamina propria of mucosa of colon	CL:0002138	UBERON:0007177
65		capillary endothelial cell of lamina propria of mucosa of colon	CL:0002144	UBERON:0007177
66		capillary endothelial cell of lamina propria	CL:0002144	UBERON:0007177
67		brush cell of bronchus of epithelium of lobar bronchus	CL:0002208	UBERON:0002339
68		brush cell of bronchus of epithelium of lobar bronchus	CL:0002208	UBERON:0002339
69		basal epithelial cell of tracheobronchial tree of epithelium of lobar bronchus	CL:0002329	UBERON:0002339
70		basal epithelial cell of tracheobronchial tree of epithelium of lobar bronchus	CL:0002329	UBERON:0002339
71		ciliated cell of the bronchus of epithelium of lobar bronchus	CL:0002332	UBERON:0002339
72		ciliated cell of the bronchus of epithelium of lobar bronchus	CL:0002332	UBERON:0002339
73		vein endothelial cell of respiratory system venous endothelium	CL:0002543	UBERON:0004849
74		vein endothelial cell of respiratory system venous endothelium	CL:0002543	UBERON:0004849
75		vein endothelial cell of respiratory system venous endothelium	CL:0002543	UBERON:0004849
76		vein endothelial cell of respiratory system venous endothelium	CL:0002543	UBERON:0004849
77		Schwann cell of circular muscle layer	CL:0002573	UBERON:0012398
78		Schwann cell of lamina propria of mucosa of colon	CL:0002573	UBERON:0007177
79		Schwann cell of submucosal plexus of Henle	CL:0002573	UBERON:0005304
80		Schwann cell of myenteric plexus of Auerbach	CL:0002573	UBERON:0002439
81		Schwann cell of longitudinal muscle layer	CL:0002573	UBERON:0012399
82		Schwann cell of myenteric nerve plexus	CL:0002573	UBERON:0002439
83		Schwann cell of lamina propria	CL:0002573	UBERON:0007177
84		Schwann cell of large intestine smooth muscle circular layer	CL:0002573	UBERON:0012398
85		Schwann cell of submucous nerve plexus	CL:0002573	UBERON:0005304
86		Schwann cell of submucous nerve plexus	CL:0002573	UBERON:0005304
87		Schwann cell of large intestine smooth muscle longitudinal layer	CL:0002573	UBERON:0012399
88		Schwann cell of intermediate layer	CL:0002573	UBERON:0005304
89		Schwann cell of submucosal plexus of Meissner	CL:0002573	UBERON:0005304
90		Schwann cell of submucous nerve plexus	CL:0002573	UBERON:0005304
91		endothelial cell of high endothelial venule of gut-associated lymphoid tissue	CL:0002652	UBERON:0001962
92		nan of gut-associated lymphoid tissue	CL:0002652	UBERON:0001962
93		extravillous trophoblast of trophoblast	CL:0008036	UBERON:0000088
94		extravillous trophoblast of trophoblast	CL:0008036	UBERON:0000088
95		nan of colonic epithelium	CL:0008364	UBERON:0000397
96		nan of colonic epithelium	CL:0008364	UBERON:0000397
97		paneth cell of epithelium of large intestine of epithelium of crypt of Lieberkuhn	CL:0009009	UBERON:0011184
98		nan of epithelium of crypt of Lieberkuhn	CL:0009009	UBERON:0011184
99		transit amplifying cell of large intestine of epithelium of crypt of Lieberkuhn	CL:0009011	UBERON:0011184
100		nan of epithelium of crypt of Lieberkuhn	CL:0009011	UBERON:0011184
101		lens fiber cell of lens fiber	CL:0011004	UBERON:0002444
102		lens fiber cell of lens Fiber	CL:0011004	UBERON:0002444
103		pulmonary ionocyte of epithelium of lobar bronchus	CL:0017000	UBERON:0002339
104		pulmonary ionocyte of epithelium of lobar bronchus	CL:0017000	UBERON:0002339
105		tracheobronchial chondrocyte of cartilage of main bronchus	CL:0019002	UBERON:0001102
106		tracheobronchial chondrocyte of cartilage of main bronchus	CL:0019002	UBERON:0001102
107		blood vessel smooth muscle cell of respiratory system venous smooth muscle	CL:0019018	UBERON:0012418
108		blood vessel smooth muscle cell of respiratory system venous smooth muscle	CL:0019018	UBERON:0012418
109		intestinal tuft cell of epithelium of crypt of Lieberkuhn	CL:0019032	UBERON:0011184
110		nan of epithelium of crypt of Lieberkuhn	CL:0019032	UBERON:0011184
111		lung goblet cell of epithelium of lobar bronchus	CL:1000143	UBERON:0002339
112		lung goblet cell of epithelium of lobar bronchus	CL:1000143	UBERON:0002339
113		lung neuroendocrine cell of epithelium of lobar bronchus	CL:1000223	UBERON:0002339
114		lung neuroendocrine cell of epithelium of lobar bronchus	CL:1000223	UBERON:0002339
115		nan of large intestine smooth muscle circular layer	CL:1000279	UBERON:0012398
116		smooth muscle cell of large intestine of longitudinal muscle layer	CL:1000279	UBERON:0012399
117		smooth muscle cell of large intestine of circular muscle layer	CL:1000279	UBERON:0012398
118		smooth muscle cell of large intestine of large intestine smooth muscle circular layer	CL:1000279	UBERON:0012398
119		smooth muscle cell of large intestine of large intestine smooth muscle longitudinal layer	CL:1000279	UBERON:0012399
120		large intestine crypt goblet cell of colonic epithelium	CL:1000321	UBERON:0000397
121		large intestine crypt goblet cell of surface epithelium	CL:1000321	UBERON:0000397
122		endothelial cell of arteriole of large intestine smooth muscle circular layer	CL:1000412	UBERON:0012398
123		endothelial cell of arteriole of myenteric nerve plexus	CL:1000412	UBERON:0002439
124		endothelial cell of arteriole of large intestine smooth muscle longitudinal layer	CL:1000412	UBERON:0012399
125		endothelial cell of arteriole of longitudinal muscle layer	CL:1000412	UBERON:0012399
126		endothelial cell of arteriole of circular muscle layer	CL:1000412	UBERON:0012398
127		endothelial cell of arteriole of myenteric plexus of Auerbach	CL:1000412	UBERON:0002439
128		endothelial cell of venule of longitudinal muscle layer	CL:1000414	UBERON:0012399
129		endothelial cell of venule of circular muscle layer	CL:1000414	UBERON:0012398
130		endothelial cell of venule of myenteric nerve plexus	CL:1000414	UBERON:0002439
131		endothelial cell of venule of large intestine smooth muscle longitudinal layer	CL:1000414	UBERON:0012399
132		endothelial cell of venule of myenteric plexus of Auerbach	CL:1000414	UBERON:0002439
133		endothelial cell of venule of large intestine smooth muscle circular layer	CL:1000414	UBERON:0012398
134		myoepithelial cell of sweat gland of eccrine (sweat) gland	CL:1000417	UBERON:0000423
135		myoepithelial cell of sweat gland of apocrine gland	CL:1000417	UBERON:0008974
136		myoepithelial cell of sweat gland of eccrine sweat gland	CL:1000417	UBERON:0000423
137		myoepithelial cell of sweat gland of apocrine gland	CL:1000417	UBERON:0008974
138		mesothelial cell of visceral peritoneum of serosa of colon	CL:1000457	UBERON:0003335
139		mesothelial cell of visceral peritoneum of serosa	CL:1000457	UBERON:0003335
140		kidney cortex collecting duct principal cell of cortical collecting duct	CL:1000714	UBERON:0004203
141		kidney cortex collecting duct principal cell of cortical collecting duct	CL:1000714	UBERON:0004203
142		kidney cortex collecting duct intercalated cell of cortical collecting duct	CL:1000715	UBERON:0004203
143		kidney cortex collecting duct intercalated cell of cortical collecting duct	CL:1000715	UBERON:0004203
144		kidney loop of Henle medullary thick ascending limb epithelial cell of thick ascending limb of loop of Henle	CL:1001108	UBERON:0001291
145		kidney loop of Henle medullary thick ascending limb epithelial cell of thick ascending limb of loop of Henle	CL:1001108	UBERON:0001291
