ID,Label,User_label,Parent_class,OBO_Validated_isa,validation_date_isa,part_of,OBO_Validated_po,validation_date_po,overlaps,OBO_Validated_overlaps,validation_date_overlaps,connected_to,OBO_Validated_ct,validation_date_ct,develops_from,OBO_Validated_df,validation_date_df,has_part,OBO_Validated_hp,validation_date_hp
ID,LABEL,A skos:prefLabel,SC %,>A CCFH:IN_OBO,>A dc:date,SC part_of some %,>A CCFH:IN_OBO,>A dc:date,SC overlaps some %,>A CCFH:IN_OBO,>A dc:date,SC connected_to some %,>A CCFH:IN_OBO,>A dc:date,SC develops_from some %,>A CCFH:IN_OBO,>A dc:date,SC has_part some %,>A CCFH:IN_OBO,>A dc:date
UBERON:0000965,,lens,,,,,,,,,,,,,,,,,,
CL:0011004,,lens fiber cell,,,,,,,,,,,,,,,,,,
UBERON:0002444,,lens Fiber,,,,,,,,,,,,,,,,,,
UBERON:0000964,,Cornea,,,,,,,,,,,,,,,,,,
UBERON:0000970,,eye,,,,,,,,,,,,,,,,,,
UBERON:0001985,,corneal endothelium,,,,,,,,,,,,,,,,,,
UBERON:0000964,,Cornea,,,,,,,,,,,,,,,,,,
CL:0000132,,corneal endothelial cell,,,,,,,,,,,,,,,,,,
UBERON:0001985,,corneal endothelium,,,,,,,,,,,,,,,,,,
UBERON:0003952,,anterior stroma of cornea,,,,,,,,,,,,,,,,,,
UBERON:0000964,,Cornea,,,,,,,,,,,,,,,,,,
CL:0002363,,keratocyte,,,,,,,,,,,,,,,,,,
UBERON:0003952,,anterior stroma of cornea,,,,,,,,,,,,,,,,,,
UBERON:0001772,,corneal epithelium,,,,,,,,,,,,,,,,,,
UBERON:0000964,,Cornea,,,,,,,,,,,,,,,,,,
CL:0000575,,corneal epithelial cell,,,,,,,,,,,,,,,,,,
UBERON:0001772,,corneal epithelium,,,,,,,,,,,,,,,,,,
UBERON:0006762,,suspensory ligament of lens,,,,,,,,,,,,,,,,,,
UBERON:0000965,,lens,,,,,,,,,,,,,,,,,,
UBERON:0001775,,ciliary body,,,,,,,,,,,,,,,,,,
UBERON:0000970,,eye,,,,,,,,,,,,,,,,,,
UBERON:0001778,,ciliary epithelium,,,,,,,,,,,,,,,,,,
UBERON:0001775,,ciliary body,,,,,,,,,,,,,,,,,,
CL:0002304,,non-pigmented ciliary epithelial cell,,,,,,,,,,,,,,,,,,
UBERON:0001778,,ciliary epithelium,,,,,,,,,,,,,,,,,,
UBERON:0001769,,iris,,,,,,,,,,,,,,,,,,
UBERON:0000970,,eye,,,,,,,,,,,,,,,,,,
UBERON:0002506,,iris epithelium,,,,,,,,,,,,,,,,,,
UBERON:0001769,,iris,,,,,,,,,,,,,,,,,,
CL:0000066,,epithelial cell,,,,,,,,,,,,,,,,,,
UBERON:0002506,,iris epithelium,,,,,,,,,,,,,,,,,,
CL:0002565,,iris pigment epithelial cell,,,,,,,,,,,,,,,,,,
UBERON:0002506,,iris epithelium,,,,,,,,,,,,,,,,,,
CL:0002303,,pigmented ciliary epithelial cell,,,,,,,,,,,,,,,,,,
UBERON:0001778,,ciliary epithelium,,,,,,,,,,,,,,,,,,
CL:0002228,,,CL:0011004,True,2022-01-10T07:10:20.966830,,,,,,,,,,,,,,,
CL:0000573,,,CL:0000287,True,2022-01-10T07:10:20.966848,,,,,,,,,,,,,,,
UBERON:0001776,,,UBERON:0002203,True,2022-01-10T07:10:20.966850,,,,,,,,,,,,,,,
CL:0000745,,,CL:0000540,True,2022-01-10T07:10:20.966853,,,,,,,,,,,,,,,
CL:0000099,,,CL:0000540,True,2022-01-10T07:10:20.966855,,,,,,,,,,,,,,,
CL:0000561,,,CL:0000099,True,2022-01-10T07:10:20.966857,,,,,,,,,,,,,,,
CL:0000287,,,CL:0000540,True,2022-01-10T07:10:20.966859,,,,,,,,,,,,,,,
CL:0000748,,,CL:0000540,True,2022-01-10T07:10:20.966861,,,,,,,,,,,,,,,
CL:0002225,,,CL:0011004,True,2022-01-10T07:10:20.966863,,,,,,,,,,,,,,,
CL:0000750,,,CL:0000748,True,2022-01-10T07:10:20.966865,,,,,,,,,,,,,,,
CL:0000604,,,CL:0000287,True,2022-01-10T07:10:20.966867,,,,,,,,,,,,,,,
CL:0000749,,,CL:0000748,True,2022-01-10T07:10:20.966869,,,,,,,,,,,,,,,
CL:0000669,,,CL:0008034,True,2022-01-10T07:10:20.966871,,,,,,,,,,,,,,,
CL:0000740,,,CL:0000540,True,2022-01-10T07:10:20.966873,,,,,,,,,,,,,,,
UBERON:0003952,,,,,,UBERON:0000964,True,2022-01-10T07:10:42.476098,,,,,,,,,,,,
UBERON:0001769,,,,,,UBERON:0000970,True,2022-01-10T07:10:42.476117,,,,,,,,,,,,
CL:0002224,,,,,,UBERON:0001803,True,2022-01-10T07:10:42.476120,,,,,,,,,,,,
CL:0002565,,,,,,UBERON:0002506,True,2022-01-10T07:10:42.476122,,,,,,,,,,,,
UBERON:0001778,,,,,,UBERON:0001775,True,2022-01-10T07:10:42.476124,,,,,,,,,,,,
UBERON:0000965,,,,,,UBERON:0000970,True,2022-01-10T07:10:42.476126,,,,,,,,,,,,
UBERON:0000389,,,,,,UBERON:0000965,True,2022-01-10T07:10:42.476129,,,,,,,,,,,,
UBERON:0002506,,,,,,UBERON:0001769,True,2022-01-10T07:10:42.476131,,,,,,,,,,,,
UBERON:0000390,,,,,,UBERON:0000965,True,2022-01-10T07:10:42.476133,,,,,,,,,,,,
UBERON:0001803,,,,,,UBERON:0000965,True,2022-01-10T07:10:42.476136,,,,,,,,,,,,
UBERON:0001789,,,,,,UBERON:0000966,True,2022-01-10T07:10:42.476138,,,,,,,,,,,,
UBERON:0001782,,,,,,UBERON:0000966,True,2022-01-10T07:10:42.476141,,,,,,,,,,,,
UBERON:0004864,,,,,,UBERON:0000966,True,2022-01-10T07:10:42.476143,,,,,,,,,,,,
UBERON:0001772,,,,,,UBERON:0000964,True,2022-01-10T07:10:42.476145,,,,,,,,,,,,
UBERON:0002444,,,,,,UBERON:0000965,True,2022-01-10T07:10:42.476147,,,,,,,,,,,,
UBERON:0001791,,,,,,UBERON:0000966,True,2022-01-10T07:10:42.476149,,,,,,,,,,,,
UBERON:0001775,,,,,,UBERON:0000970,True,2022-01-10T07:10:42.476151,,,,,,,,,,,,
CL:0002586,,,,,,UBERON:0001782,True,2022-01-10T07:10:42.476153,,,,,,,,,,,,
UBERON:0000966,,,,,,UBERON:0000970,True,2022-01-10T07:10:42.476155,,,,,,,,,,,,
UBERON:0000964,,,,,,UBERON:0000970,True,2022-01-10T07:10:42.476157,,,,,,,,,,,,
UBERON:0001985,,,,,,UBERON:0000964,True,2022-01-10T07:10:42.476159,,,,,,,,,,,,
UBERON:0005336,,,,,,UBERON:0001776,True,2022-01-10T07:10:42.476162,,,,,,,,,,,,
UBERON:0001792,,,,,,UBERON:0000966,True,2022-01-10T07:10:42.476164,,,,,,,,,,,,
CL:0000066,,,,,,UBERON:0002506,True,2022-01-10T07:11:33.102014,,,,,,,,,,,,
UBERON:0001791,,,,,,,,,,,,,,,,,,CL:0000561,True,2022-01-10T07:11:47.758078
UBERON:0001791,,,,,,,,,,,,,,,,,,CL:0000748,True,2022-01-10T07:11:47.758097
UBERON:0001791,,,,,,,,,,,,,,,,,,CL:0000745,True,2022-01-10T07:11:47.758100
