Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
placenta	placenta	UBERON:0001987	placental disc	doi:10.1177/1933719118756745 ; doi:10.1186/s13287-018-0962-6 ; doi:10.1093/humrep/det285	doi:10.1177/1933719118756745 ; doi:10.1186/s13287-018-0962-6 ; doi:10.1093/humrep/det285
placenta	placenta	UBERON:0001987	placental disc	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051 ; doi:10.1016/s1472-6483(10)61745-2 ; doi:10.1016/s1472-6483(10)61745-2	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.5966/sctm.2015-0022 ; doi:10.3346/jkms.2012.27.8.857 ; doi:10.1093/humrep/den051 ; doi:10.1093/humrep/den051 ; doi:10.1016/s1472-6483(10)61745-2
placenta	placenta	UBERON:0001987	placental disc	PMID:1697563	PMID:1697563
placenta	placenta	UBERON:0001987	placental disc	doi:10.1053/plac.2000.0559 ; doi:10.1038/s41423-018-0008-0 ; doi:10.1371/journal.pone.0002078	doi:10.1053/plac.2000.0559 ; doi:10.1038/s41423-018-0008-0 ; doi:10.1371/journal.pone.0002078
placenta	placenta	UBERON:0001987	placental disc	doi:10.1038/ni904	doi:10.1038/ni904
placenta	placenta	UBERON:0001987	placental disc	doi:10.4049/jimmunol.146.6.1783 ; doi:10.1182/blood.V86.9.3479.bloodjournal8693479	doi:10.4049/jimmunol.146.6.1783 ; doi:10.1182/blood.V86.9.3479.bloodjournal8693479
placenta	placenta	UBERON:0001987	placental disc	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.1091/mbc.1.1.27 ; doi:10.1093/intimm/7.7.1087	doi:10.3390/cells1041061 ; doi:10.1016/j.jcyt.2017.03.001 ; doi:10.1186/s13287-017-0757-1 ; doi:10.1095/biolreprod51.4.739 ; doi:10.1095/biolreprod.108.075226 ; doi:10.1182/blood.V74.2.751.751 ; doi:10.1091/mbc.1.1.27 ; doi:10.1093/intimm/7.7.1087
placenta	placenta	UBERON:0001987	placental disc	PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2 ; doi:10.1093/oxfordjournals.humrep.a136040	PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2 ; doi:10.1093/oxfordjournals.humrep.a136040
placenta	placenta	UBERON:0001987	placental disc	doi:10.1016/0198-8859(93)90138-Q ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1172/JCI119387	doi:10.1016/0198-8859(93)90138-Q ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; PMID:8804361 ; doi:10.1155/2021/6662201 ; doi:10.1093/humrep/dem265 ; doi:10.1172/JCI119387
placenta	placenta	UBERON:0001987	placental disc	doi:10.1371/journal.pone.0169849	doi:10.1371/journal.pone.0169849
chorionic plate	chorionic plate	UBERON:0004027	floating villus	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244
floating villus			stem villus	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244
stem villus	stem villus		chorionic ectoderm (from chorionic plate)	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244	doi:10.1016/S0143-4004(05)80438-2 ; doi:10.1016/j.ajpath.2014.08.006 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244
chorionic plate	chorionic plate	UBERON:0004027	floating villus	doi:10.1146/annurev.bi.50.070181.002341 ; doi:10.1056/NEJM197007232830408 ; doi:10.1007/BF01628222 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; doi:10.1016/S0143-4004(05)80438-2	doi:10.1146/annurev.bi.50.070181.002341 ; doi:10.1056/NEJM197007232830408 ; doi:10.1007/BF01628222 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; doi:10.1016/S0143-4004(05)80438-2
floating villus			stem villus	doi:10.1146/annurev.bi.50.070181.002341 ; doi:10.1056/NEJM197007232830408 ; doi:10.1007/BF01628222 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; doi:10.1016/S0143-4004(05)80438-2	doi:10.1146/annurev.bi.50.070181.002341 ; doi:10.1056/NEJM197007232830408 ; doi:10.1007/BF01628222 ; doi:10.1016/j.jim.2003.03.001 ; doi:10.1053/plac.2000.0559 ; doi:10.1095/biolreprod.106.055244 ; doi:10.1016/S0143-4004(05)80438-2
