Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0002371	Bone marrow	Bone marrow	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:1673, HGNC:12029, HGNC:6015, HGNC:11362, HGNC:6817, HGNC:19383, HGNC:6001, HGNC:8109, HGNC:19129, HGNC:12729, HGNC:9721, HGNC:11892, HGNC:7849, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	CD8 naive	HGNC:1673, HGNC:12029, HGNC:636, HGNC:6024, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000909	CD8-positive, alpha-beta memory T cell	CD8 T cell memory	HGNC:26974, HGNC:16647, HGNC:9360, HGNC:2360, HGNC:6134, HGNC:4709, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000938	CD16-negative, CD56-bright natural killer cell	CD56 bright Natural Killer	HGNC:12253, HGNC:6373, HGNC:2064, HGNC:2479, HGNC:10645, HGNC:4711, HGNC:1674, HGNC:1633, HGNC:7315, HGNC:7656, HGNC:3619, HGNC:921	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000990	conventional dendritic cell	dendritic cell type 2 (DC2)	HGNC:1636, HGNC:3609, HGNC:16916, HGNC:4943, HGNC:4940, HGNC:3618, HGNC:1674, HGNC:1633, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:6152, HGNC:6012, HGNC:11784, HGNC:1636	DOI:10.1016/j.immuni.2017.04.019
UBERON:0002371	Bone marrow	Bone marrow	CL:0000990	conventional dendritic cell	dendritic cell type 1 (DC1)	HGNC:26705, HGNC:5951, HGNC:1625, HGNC:1674, HGNC:1633, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:6152, HGNC:6012, HGNC:11784, HGNC:1636	DOI:10.3109/10428194.2013.781167
UBERON:0002371	Bone marrow	Bone marrow	CL:0001054	CD14-positive monocyte	CD14 monocyte	HGNC:2464, HGNC:2475, HGNC:1628, HGNC:10498, HGNC:10499, HGNC:3623, HGNC:1674, HGNC:1633, HGNC:7656, HGNC:1628, HGNC:3619, HGNC:2558, HGNC:2561	
UBERON:0002371	Bone marrow	Bone marrow	CL:0001056	dendritic cell, human	dendritic cell type 3 (DC3)	HGNC:1636, HGNC:3609, HGNC:16916, HGNC:10498, HGNC:10499, HGNC:1663, HGNC:1631, HGNC:1674, HGNC:1633, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:6152, HGNC:6012, HGNC:13258	DOI:10.1002/cyto.a.23724
UBERON:0002371	Bone marrow	Bone marrow	CL:0001058	plasmacytoid dendritic cell, human	Plasmacytoid Dendritic Cell (pDC)	HGNC:4709, HGNC:5713, HGNC:8824, HGNC:1674, HGNC:1633, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:6152, HGNC:6012, HGNC:905, HGNC:10875	DOI:10.1111/bjh.14467
UBERON:0002371	Bone marrow	Bone marrow	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	CD8 T cell effector memory CD45RA	HGNC:1673, HGNC:12029, HGNC:9360, HGNC:24961, HGNC:7830, HGNC:4414, HGNC:5411, HGNC:6378, HGNC:10632, HGNC:1674, HGNC:1706, HGNC:1678, HGNC:11922, HGNC:1667, HGNC:9666, HGNC:10720, HGNC:1608	
UBERON:0002371	Bone marrow	Bone marrow	CL:0001087	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	CD4 T cell effector memory CD45RA	HGNC:1673, HGNC:12029, HGNC:6015, HGNC:11362, HGNC:6817, HGNC:19383, HGNC:6001, HGNC:8109, HGNC:19129, HGNC:12729, HGNC:9721, HGNC:11892, HGNC:7849, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0002371	Bone marrow	Bone marrow	CL:0002193	myelocyte	myelocyte	HGNC:6526, HGNC:1472, HGNC:6720, HGNC:3383, HGNC:1820, HGNC:500, HGNC:4015, HGNC:11249, HGNC:1820, HGNC:6140, HGNC:1645, HGNC:6149	
UBERON:0002371	Bone marrow	Bone marrow	CL:0002396	CD14-low, CD16-positive monocyte	CD16 monocyte	HGNC:24149, HGNC:13378, HGNC:5414, HGNC:3619, HGNC:16642, HGNC:14189, HGNC:1662, HGNC:1667, HGNC:7154, HGNC:6342, HGNC:31713, HGNC:6012, HGNC:3613, HGNC:1628, HGNC:28874	
