term	image_url
UBERON:0008529	http://upload.wikimedia.org/wikipedia/commons/5/55/Posterior_Hip_Muscles_1.PNG
UBERON:0008571	https://upload.wikimedia.org/wikipedia/commons/5/58/Suprahyoid_muscles.png
UBERON:0008572	http://upload.wikimedia.org/wikipedia/commons/9/9d/Musculuscricoarytenoideusposterior.png
UBERON:0008573	http://upload.wikimedia.org/wikipedia/commons/3/34/Musculuscricoarytenoideuslateralis.png
UBERON:0008577	http://upload.wikimedia.org/wikipedia/commons/6/64/Musculusthyreoarytenoideus.png
UBERON:0008586	http://upload.wikimedia.org/wikipedia/commons/3/30/Musculustensorvelipalatini.png
UBERON:0008593	http://upload.wikimedia.org/wikipedia/commons/7/7e/Zygomaticus.png
UBERON:0008594	http://upload.wikimedia.org/wikipedia/commons/4/46/Musculuszygomaticusminor.png
UBERON:0008596	http://upload.wikimedia.org/wikipedia/commons/3/37/Mentalis.png
UBERON:0008597	http://upload.wikimedia.org/wikipedia/commons/3/36/Gray381.png
UBERON:0008598	http://upload.wikimedia.org/wikipedia/commons/a/af/Musculusrisorius.png
UBERON:0008609	http://upload.wikimedia.org/wikipedia/commons/3/36/Gray381.png
UBERON:0008712	http://upload.wikimedia.org/wikipedia/commons/9/94/Musculi_colli_stylohyoideus.svg
UBERON:0008804	http://upload.wikimedia.org/wikipedia/commons/5/59/Musculusstylopharyngeus.png
UBERON:0010234	http://upload.wikimedia.org/wikipedia/commons/1/1b/Musculuspalatopharyngeus.png
UBERON:0010379	http://upload.wikimedia.org/wikipedia/commons/6/6f/Gray894.png
UBERON:0010496	http://upload.wikimedia.org/wikipedia/commons/c/c4/Gray810.png
UBERON:0010933	https://upload.wikimedia.org/wikipedia/commons/b/b6/Orbicularis_oris.jpg
UBERON:0010937	http://upload.wikimedia.org/wikipedia/commons/e/e3/Salpingopharyngeus.png
UBERON:0010946	http://upload.wikimedia.org/wikipedia/commons/f/fa/Gray378.png
UBERON:0010953	http://upload.wikimedia.org/wikipedia/commons/b/bb/Nasalis.png
UBERON:0010990	http://upload.wikimedia.org/wikipedia/commons/7/7f/Gray384.png
UBERON:0011011	http://upload.wikimedia.org/wikipedia/commons/9/92/Brachioradialis.png
UBERON:0011012	http://upload.wikimedia.org/wikipedia/commons/c/ca/Musculusflexorpollicisbrevis.png
UBERON:0011016	http://upload.wikimedia.org/wikipedia/commons/9/91/Gray397.png
UBERON:0011022	http://upload.wikimedia.org/wikipedia/commons/5/58/Musculus_flexor_hallucis_brevis.png
