s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0001616	maxillary artery	maxillary artery	UBERON:0001070	external carotid artery	external carotid artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001616	maxillary artery	maxillary artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0009654	alveolar artery	alveolar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001618	buccal artery	buccal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0014695	deep auricular artery	deep auricular artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0006664	greater palatine artery	greater palatine artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:3010417	posterior palatine artery	posterior palatine artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0014693	inferior alveolar artery	inferior alveolar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001617	mental artery	mental artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0004646	infraorbital artery	infraorbital artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0013648	masseteric artery	masseteric artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010250	middle meningeal artery	middle meningeal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0018397	posterior superior alveolar artery	posterior superior alveolar artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001613	occipital artery	occipital artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0014694	posterior auricular artery	posterior auricular artery
UBERON:0006345	stapedial artery	stapedial artery	UBERON:0014694	posterior auricular artery	posterior auricular artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0006345	stapedial artery	stapedial artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001614	superficial temporal artery	superficial temporal artery
UBERON:0035042	middle temporal artery	middle temporal artery	UBERON:0001614	superficial temporal artery	superficial temporal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035042	middle temporal artery	middle temporal artery
UBERON:0035261	posterior temporal artery	posterior temporal artery	UBERON:0001614	superficial temporal artery	superficial temporal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035261	posterior temporal artery	posterior temporal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001615	transverse facial artery	transverse facial artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015157	zygomatico-orbital artery	zygomatico-orbital artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0007150	superior thyroid artery	superior thyroid artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001532	internal carotid artery	internal carotid artery
