row_number	s	slabel	user_slabel	o	olabel	user_olabel
31	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
395	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010943	anterior digastric muscle	anterior belly of digastric muscle
101	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003234	extensor pollicis longus muscle	extensor pollicis longus muscle
103	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001482	muscle of shoulder	shoulder muscle
157	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002380	trapezius muscle	trapezius muscle
158	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002380	trapezius muscle	trapezius muscle
159	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002380	trapezius muscle	trapezius muscle
160	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
161	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
162	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
163	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
164	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
165	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
166	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
167	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
168	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010990	transversospinales muscle	transversospinales muscle
169	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002426	chest muscle	chest muscle
170	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001495	pectoral muscle	pectoral muscle
171	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002381	pectoralis major	pectoralis major muscle
172	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002381	pectoralis major	pectoralis major muscle
173	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002381	pectoralis major	pectoralis major muscle
174	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002381	pectoralis major	pectoralis major muscle
175	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001100	pectoralis minor	pectoralis minor muscle
176	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001482	muscle of shoulder	shoulder muscle
177	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001125	serratus ventralis	serratus anterior muscle
178	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001482	muscle of shoulder	shoulder muscle
179	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002426	chest muscle	chest muscle
186	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008618	subcostal muscle	subcostal muscle
188	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002376	cranial muscle	cranial muscle
189	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002376	cranial muscle	cranial muscle
194	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001601	extra-ocular muscle	extra-ocular muscle
156	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002380	trapezius muscle	trapezius muscle
153	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0005461	levator scapulae muscle	levator scapulae muscle
152	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001112	latissimus dorsi muscle	latissimus dorsi muscle
151	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002324	muscle of back	back muscle
104	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001476	deltoid	deltoid muscle
105	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001476	deltoid	deltoid muscle
106	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001476	deltoid	deltoid muscle
107	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001476	deltoid	deltoid muscle
108	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001477	infraspinatus muscle	infraspinatus muscle
109	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001129	subscapularis muscle	subscapularis muscle
110	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002383	supraspinatus muscle	supraspinatus muscle
111	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001478	teres major muscle	teres major muscle
112	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010496	teres minor muscle	teres minor muscle
113	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
114	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008465	abductor pollicis brevis muscle	abductor pollicis brevis muscle
115	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002962	adductor pollicis muscle	adductor pollicis muscle
116	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002962	adductor pollicis muscle	adductor pollicis muscle
102	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003228	supinator muscle	supinator muscle
117	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002962	adductor pollicis muscle	adductor pollicis muscle
119	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011012	flexor pollicis brevis muscle	flexor pollicis brevis muscle
120	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011012	flexor pollicis brevis muscle	flexor pollicis brevis muscle
122	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002324	muscle of back	back muscle
123	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002324	muscle of back	back muscle
126	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001400	iliocostalis thoracis muscle	iliocostalis thoracis muscle
128	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001402	longissimus cervicis muscle	longissimus cervicis muscle
129	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001401	longissimus thoracis muscle	longissimus thoracis muscle
130	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011014	spinalis capitis muscle	spinalis capitis muscle
131	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011218	spinalis cervicis muscle	spinalis cervicis muscle
132	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001405	spinalis thoracis muscle	spinalis thoracis muscle
133	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002324	muscle of back	back muscle
136	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002324	muscle of back	back muscle
148	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002324	muscle of back	back muscle
118	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011012	flexor pollicis brevis muscle	flexor pollicis brevis muscle
396	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0010944	posterior digastric muscle	posterior belly of digastric muscle
