representation_of,glb_file
http://purl.obolibrary.org/obo/UBERON_0001141,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001141,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001142,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001142,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001149,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.1/assets/VH_M_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001149,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.1/assets/VH_F_Liver.glb
http://purl.obolibrary.org/obo/UBERON_0001150,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.2/assets/3d-vh-m-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001150,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.2/assets/3d-vh-f-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001151,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.2/assets/3d-vh-m-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001151,https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-female/v1.2/assets/3d-vh-f-pancreas.glb
http://purl.obolibrary.org/obo/UBERON_0001153,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001153,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001154,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001154,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001156,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001156,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001157,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001157,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001158,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001158,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001159,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-male/v1.2/assets/SBU_M_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001159,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb
http://purl.obolibrary.org/obo/UBERON_0001182,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001182,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001182,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001182,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001183,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001183,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001184,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.2/assets/VH_M_Blood_Vasculature.glb
http://purl.obolibrary.org/obo/UBERON_0001184,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.2/assets/VH_F_Blood_Vasculature.glb
