AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	CT/1	CT/1/LABEL	CT/1/ID	BG/1	BG/1/LABEL	BG/1/ID	BG/2	BG/2/LABEL	BG/2/ID	BG/3	BG/3/LABEL	BG/3/ID	BG/4	BG/4/LABEL	BG/4/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	coronary sinus	coronary sinus	UBERON:0005438	smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	coronary sinus	coronary sinus	UBERON:0005438	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	atrioventricular node	atrioventricular node	UBERON:0002352	pacemaker cell	cardiac pacemaker cell of sinoatrial node	CL:1000477	HCN4		HGNC:16882	Cx45		HGNC:4280													
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	atrioventricular node	atrioventricular node	UBERON:0002352	adipocyte	fat cell	CL:0000136	GPAM		HGNC:24865	LEP		HGNC:6553													
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	right coronary artery	right coronary artery	UBERON:0001625	endothelial cell	endothelial cell of artery	CL:0002542	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	right coronary artery	right coronary artery	UBERON:0001625	smooth muscle cell	smooth muscle cell of the coronary artery	CL:0002592	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	right coronary artery	right coronary artery	UBERON:0001625	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	myocardium	myocardium of atrium	UBERON:0002302	cardiomyocyte	cardiac muscle cell	CL:0000746	TTN		HGNC:12403	MYH6		HGNC:7576	NPPA		HGNC:7939										
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	myocardium	myocardium of atrium	UBERON:0002302	pacemaker cell	cardiac pacemaker cell of sinoatrial node	CL:1000477	HCN4		HGNC:16882	Cx45		HGNC:4280													
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	myocardium	myocardium of atrium	UBERON:0002302	fibroblast	cardiac atrium fibroblast	CL:2000067	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	myocardium	myocardium of atrium	UBERON:0002302	macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	vasculature	vasculature	UBERON:0002049	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	vasculature	vasculature	UBERON:0002049	smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	left atrium	left cardiac atrium	UBERON:0002079	vasculature	vasculature	UBERON:0002049	fibroblast	cardiac atrium fibroblast	CL:2000067	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	myocardium	left ventricle myocardium	UBERON:0006566	cardiomyocyte	cardiac muscle cell	CL:0000746	TTN		HGNC:12403	MYH6		HGNC:7576													
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	myocardium	left ventricle myocardium	UBERON:0006566	Purkinje fiber cell	not in CL	not in CL																			
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	myocardium	left ventricle myocardium	UBERON:0006566	fibroblast	cardiac ventricle fibroblast	CL:2000066	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	myocardium	left ventricle myocardium	UBERON:0006566	macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	fibroblast	cardiac ventricle fibroblast	CL:2000066	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	telocyte (interstitial like cell of cajal)	not in CL	not in CL	CD34		HGNC:1662	vimentin		HGNC:12692													
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	lymphocyte	lymphocyte	CL:0000542	CD8A		HGNC:1706	NKG7		HGNC:7830	LCK		HGNC:6524										
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	dendritic cell	dendritic cell, human	CL:0001056	CD11b		HGNC:6149	CD11c		HGNC:6152	CD103		HGNC:6147	CD205		HGNC:6729							
heart	heart	UBERON:0000948	left ventricle	heart left ventricle	UBERON:0002084	vasculature	vasculature	UBERON:0002049	adipocyte	fat cell	CL:0000136	GPAM		HGNC:24865	LEP		HGNC:6553													
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	left anterior descending artery	First left anterior branch of anterior interventricular branch of left coronary artery	FMA:3886	endothelial cell	endothelial cell of artery	CL:0002542	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	left anterior descending artery	First left anterior branch of anterior interventricular branch of left coronary artery	FMA:3886	smooth muscle cell	blood vessel endothelial cell	CL:0000071	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	left anterior descending artery	First left anterior branch of anterior interventricular branch of left coronary artery	FMA:3886	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	septal perforating arteries	First left anterior branch of anterior interventricular branch of left coronary artery	FMA:3886	endothelial cell	endothelial cell of artery	CL:0002542	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	septal perforating arteries	First left anterior branch of anterior interventricular branch of left coronary artery	FMA:3886	smooth muscle cell	blood vessel endothelial cell	CL:0000071	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	septal perforating arteries	First left anterior branch of anterior interventricular branch of left coronary artery	FMA:3886	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	bundle of His	atrioventricular bundle	UBERON:0002353	pacemaker cardiomyocyte	cardiac pacemaker cell of sinoatrial node	CL:1000477	HCN4		HGNC:16882	Cx45		HGNC:4280													
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	myocardium	myocardium	UBERON:0002349	cardiomyocyte	cardiac muscle cell	CL:0000746	TTN		HGNC:12403	MYH6		HGNC:7576													
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	myocardium	myocardium	UBERON:0002349	Purkinje fiber cell	not in CL	not in CL																			
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	myocardium	myocardium	UBERON:0002349	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	septum	interventricular septum	UBERON:0002094	myocardium	myocardium	UBERON:0002349	macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	myocardium	right ventricle myocardium	UBERON:0006567	cardiomyocyte	cardiac muscle cell	CL:0000746	TTN		HGNC:12403	MYH6		HGNC:7576													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	myocardium	right ventricle myocardium	UBERON:0006567	Purkinje fiber cell	caridac Purkinje fiber	UBERON:0004147																			
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	myocardium	right ventricle myocardium	UBERON:0006567	fibroblast	cardiac ventricle fibroblast	CL:2000066	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	myocardium	right ventricle myocardium	UBERON:0006567	macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	vasculature	vasculature	UBERON:0002049	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	vasculature	vasculature	UBERON:0002049	pericyte	pericyte	CL:0000669	ABCC9		HGNC:60	KCNJ8		HGNC:6269													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	vasculature	vasculature	UBERON:0002049	smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	vasculature	vasculature	UBERON:0002049	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	vasculature	vasculature	UBERON:0002049	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	cardiomyocyte	cardiac muscle cell	CL:0000746	TTN		HGNC:12403	MYH6		HGNC:7576													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	Purkinje fiber cell	cardiac Purkinje fiber	UBERON:0004147																			
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	telocyte (interstitial like cell of cajal)	heart valve cell	CL:1000147	CD34		HGNC:1662	vimentin		HGNC:12692													
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	lymphocyte	lymphocyte	CL:0000542	CD8A		HGNC:1706	NKG7		HGNC:7830	LCK		HGNC:6524										
heart	heart	UBERON:0000948	right ventricle	heart right ventricle	UBERON:0002080	Moderator band	Septomarginal trabecula	FMA:7272	dendritic cell	dendritic cell, human	CL:0001056	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Tricuspid valve	Tricuspid valve	UBERON:0002134	valve interstitial cell	not in CL	not in CL	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Tricuspid valve	Tricuspid valve	UBERON:0002134	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Pulmonary Valve	Pulmonary Valve	UBERON:0002146	valve interstitial cell	not in CL	not in CL	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Pulmonary Valve	Pulmonary Valve	UBERON:0002146	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Mitral valve	Mitral valve	UBERON:0002135	valve interstitial cell	not in CL	not in CL	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Mitral valve	Mitral valve	UBERON:0002135	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Aortic valve	Aortic valve	UBERON:0002137	valve interstitial cell	not in CL	not in CL	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	Cardial valve	Cardial valve	UBERON:0000946	Aortic valve	Aortic valve	UBERON:0002137	endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				mesothelial cell	mesothelial cell	CL:0000077	CRT (CALR)		HGNC:1455	AE1		HGNC:11027	AE3		HGNC:11029										
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				adipocyte	epicardial adipocyte	CL:1000309	GPAM		HGNC:24865	LEP		HGNC:6553													
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				Schwann Cell	Schwann cell	CL:0002573	SOX10		HGNC:11190	S100		many variants													
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	Epicardium	epicardium	UBERON:0002348				lymphocyte	lymphocyte	CL:0000542	CD3		many variants	CD20		HGNC:7315													
																														
