AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	AS/6	AS/6/LABEL	AS/6/ID	AS/7	AS/7/LABEL	AS/7/ID
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	trachea blood vessel	trachea blood vessel	UBERON:0003505	bronchial vein	bronchial vein	UBERON:0001592	respiratory system venous smooth muscle		UBERON:0012418						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial mesenchyme	lobar bronchus mesenchyme	UBERON:0004884						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	cartilagenous plate	cartilage of main bronchus	UBERON:0001102						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial artery	bronchial artery	UBERON:0002040			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial artery	bronchial artery	UBERON:0002040			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial vein	bronchial vein	UBERON:0001592			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial vein	bronchial vein	UBERON:0001592			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary / Main Bronchus	Main Bronchus	UBERON:0002182	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial mesenchyme	lobar bronchus mesenchyme	UBERON:0004884						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	cartilagenous plate	cartilage of main bronchusUBERON:0001102							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial artery	bronchial artery	UBERON:0002040			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial artery	bronchial artery	UBERON:0002040			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial vein	bronchial vein	UBERON:0001592			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial vein	bronchial vein	UBERON:0001592			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Secondary / Lobar Bronchus	Lobar Bronchus	UBERON:0002183	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial epithelium	epithelium of lobar bronchus	UBERON:0002339						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial mesenchyme	lobar bronchus mesenchyme	UBERON:0004884						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	cartilagenous plate	cartilage of main bronchus	UBERON:0001102						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial artery	bronchial artery	UBERON:0002040			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial vessels	lobar bronchus vasculature'	UBERON:0004889	bronchial artery	bronchial artery	UBERON:0002040			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial vessels	lobar bronchus vasculature	UBERON:0004889	bronchial vein	bronchial vein	UBERON:0001592			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial vessels	lobar bronchus vasculature	UBERON:0004889	bronchial vein	bronchial vein	UBERON:0001592			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	ciliated ducts of bronchial submucosal gland	ciliated ducts of bronchial submucosal gland							
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Tertiary / Segmental Bronchus	Segmental Bronchus	UBERON:0002184	bronchial submucosal gland	mucous gland of lung	UBERON:0019190						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary Bronchioles											
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary Bronchioles											
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary Bronchioles											
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary Bronchioles											
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Primary Bronchioles											
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Terminal Bronchioles	terminal bronchiole	UBERON:0002187						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Terminal Bronchioles	terminal bronchiole	UBERON:0002187						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Terminal Bronchioles	terminal bronchiole	UBERON:0002187						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Terminal Bronchioles	terminal bronchiole	UBERON:0002187						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Terminal Bronchioles	terminal bronchiole	UBERON:0002187						
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Terminal Bronchioles	terminal bronchiole	UBERON:0002187	Bronchoalveolar duct junction	bronchoalveolar duct junction	UBERON:0004903			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Respiratory bronchioles	respiratory bronchiole	UBERON:0002188			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Respiratory bronchioles	respiratory bronchiole	UBERON:0002188			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Respiratory bronchioles	respiratory bronchiole	UBERON:0002188			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Respiratory bronchioles	respiratory bronchiole	UBERON:0002188			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveolar Ducts	pulmonary alveolar duct	UBERON:0002173			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveolar Ducts	pulmonary alveolar duct	UBERON:0002173			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveolar Ducts	pulmonary alveolar duct	UBERON:0002173			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870			
Respiratory System	Respiratory System	UBERON:0001004	Lung	Lung	UBERON:0002048	Right or Left Lung Lobe	Lobe of Lung	UBERON:0000101	Pulmonary Lobule	pulmonarly lobule	UBERON: 0010368	Pulmonary Acinus	Pulmonary Acinus	UBERON:0008874	Alveoli	pulmonary alveolar parenchyma	UBERON:0008870	Alveolar capillaries	pulmonary capilllary	UBERON:0016405
