	SUBJECT	OBJECT
117	UBERON:0005272	UBERON:0004640
118	UBERON:0004726	UBERON:0004640
119	UBERON:0003468	UBERON:0001184
120	UBERON:0035322	UBERON:0001516
121	UBERON:0001185	UBERON:0001516
122	UBERON:0001188	UBERON:0001516
123	UBERON:0001182	UBERON:0001516
124	UBERON:0005628	UBERON:0001182
125	UBERON:0001197	UBERON:0001182
126	UBERON:0001195	UBERON:0001182
127	UBERON:0001196	UBERON:0001182
128	UBERON:0001187	UBERON:0001516
129	UBERON:0035539	UBERON:0002345
130	UBERON:0001561	UBERON:0002345
131	UBERON:0013133	UBERON:0002345
132	UBERON:0001536	UBERON:0001508
133	UBERON:0001584	UBERON:0001508
134	UBERON:0001533	UBERON:0001508
135	UBERON:0001394	UBERON:0001533
136	UBERON:0001398	UBERON:0001394
137	UBERON:0001399	UBERON:0001398
138	UBERON:0001404	UBERON:0001398
139	UBERON:0001410	UBERON:0006564
140	UBERON:0006137	UBERON:0001410
141	UBERON:0001406	UBERON:0001398
142	UBERON:0002249	UBERON:0001406
143	UBERON:0006564	UBERON:0001406
144	UBERON:0001396	UBERON:0001394
145	UBERON:0001397	UBERON:0001394
146	UBERON:0002011	UBERON:0001397
147	UBERON:0035273	UBERON:0001394
148	UBERON:0001395	UBERON:0001394
149	UBERON:0004688	UBERON:0001533
150	UBERON:0012321	UBERON:0004688
151	UBERON:0006198	UBERON:0004688
152	UBERON:0002456	UBERON:0001533
153	UBERON:0006632	UBERON:0002456
154	UBERON:0007153	UBERON:0002456
155	UBERON:0018243	UBERON:0002456
156	UBERON:0012322	UBERON:0007149
157	UBERON:0001071	UBERON:0012324
158	UBERON:0001535	UBERON:0001533
159	UBERON:0005431	UBERON:0001535
160	UBERON:0001633	UBERON:0001535
161	UBERON:0009689	UBERON:0001633
162	UBERON:0018231	UBERON:0009689
163	UBERON:0001636	UBERON:0001633
164	UBERON:0035183	UBERON:0001636
165	UBERON:0001634	UBERON:0001636
166	UBERON:0001635	UBERON:0001633
167	UBERON:0009688	UBERON:0001535
168	UBERON:0007146	UBERON:0001535
169	UBERON:0001626	UBERON:0001496
170	UBERON:0001625	UBERON:0001496
171	UBERON:0002078	UBERON:0002049
172	UBERON:0005438	UBERON:0002078
173	UBERON:0006958	UBERON:0005438
174	UBERON:0009687	UBERON:0005438
175	UBERON:0035374	UBERON:0005438
176	UBERON:0001072	UBERON:0002078
177	UBERON:0001139	UBERON:0001072
178	UBERON:0001316	UBERON:0001139
179	UBERON:0001360	UBERON:0001316
180	UBERON:0001361	UBERON:0001316
181	UBERON:0001363	UBERON:0001361
182	UBERON:0009048	UBERON:0001363
183	UBERON:0018253	UBERON:0001363
184	UBERON:0001550	UBERON:0001363
185	UBERON:0014692	UBERON:0001363
186	UBERON:0009049	UBERON:0001363
187	UBERON:0035234	UBERON:0001361
188	UBERON:0001544	UBERON:0001361
189	UBERON:0001545	UBERON:0001544
190	UBERON:0013143	UBERON:0001544
191	UBERON:0001546	UBERON:0001544
192	UBERON:0006144	UBERON:0001546
193	UBERON:0013142	UBERON:0001546
194	UBERON:0001547	UBERON:0001544
195	UBERON:0001548	UBERON:0001547
196	UBERON:0013144	UBERON:0001544
197	UBERON:0007154	UBERON:0001316
198	UBERON:0001320	UBERON:0001139
199	UBERON:0001317	UBERON:0001139
200	UBERON:0006690	UBERON:0001317
201	UBERON:0006656	UBERON:0001317
202	UBERON:0001318	UBERON:0001317
203	UBERON:0018252	UBERON:0001317
204	UBERON:0001321	UBERON:0001317
205	UBERON:0001362	UBERON:0001317
206	UBERON:0006355	UBERON:0001317
207	UBERON:0001319	UBERON:0001317
208	UBERON:0002460	UBERON:0001317
209	UBERON:0006687	UBERON:0001139
210	UBERON:0001143	UBERON:0001072
211	UBERON:0006841	UBERON:0001143
212	UBERON:0001281	UBERON:0006841
213	UBERON:0001639	UBERON:0001281
214	UBERON:0035392	UBERON:0001639
215	UBERON:0014690	UBERON:0001639
216	UBERON:0014691	UBERON:0001639
217	UBERON:0003713	UBERON:0001639
218	UBERON:0001215	UBERON:0003713
219	UBERON:0001214	UBERON:0003713
220	UBERON:0010400	UBERON:0003713
221	UBERON:0003910	UBERON:0010400
222	UBERON:0001138	UBERON:0001639
223	UBERON:0001217	UBERON:0001138
224	UBERON:0001219	UBERON:0001138
225	UBERON:0001216	UBERON:0001138
226	UBERON:0001218	UBERON:0001138
227	UBERON:0011955	UBERON:0001072
228	UBERON:0001142	UBERON:0001072
229	UBERON:0035483	UBERON:0001142
230	UBERON:0000443	UBERON:0001142
231	UBERON:0011957	UBERON:0001072
232	UBERON:0001140	UBERON:0001072
233	UBERON:0009887	UBERON:0001140
234	UBERON:0004719	UBERON:0009887
235	UBERON:0005168	UBERON:0004719
236	UBERON:0010181	UBERON:0004719
237	UBERON:0011956	UBERON:0001072
238	UBERON:0001141	UBERON:0001072
239	UBERON:0035435	UBERON:0001072
240	UBERON:0000442	UBERON:0001072
241	UBERON:0001330	UBERON:0000442
242	UBERON:0001585	UBERON:0002078
243	UBERON:0001594	UBERON:0001585
244	UBERON:0006665	UBERON:0001594
245	UBERON:0006663	UBERON:0001594
246	UBERON:0035252	UBERON:0006663
247	UBERON:0012199	UBERON:0001594
248	UBERON:0035474	UBERON:0001594
249	UBERON:0012196	UBERON:0001594
250	UBERON:0012194	UBERON:0001594
251	UBERON:0012237	UBERON:0001594
252	UBERON:0003711	UBERON:0001585
253	UBERON:0007156	UBERON:0003711
254	UBERON:0001586	UBERON:0003711
255	UBERON:0001660	UBERON:0001656
256	UBERON:0014685	UBERON:0001660
257	UBERON:0001661	UBERON:0014685
258	UBERON:0001659	UBERON:0001661
259	UBERON:0001658	UBERON:0001656
260	UBERON:0001657	UBERON:0001656
261	UBERON:0001659	UBERON:0001656
262	UBERON:0001653	UBERON:0001586
263	UBERON:0014686	UBERON:0001653
264	UBERON:0002459	UBERON:0014686
265	UBERON:0014768	UBERON:0014686
266	UBERON:0001654	UBERON:0014686
267	UBERON:0035659	UBERON:0001653
268	UBERON:0003478	UBERON:0001653
269	UBERON:0001655	UBERON:0001653
270	UBERON:0003477	UBERON:0001653
271	UBERON:0034982	UBERON:0001586
272	UBERON:0007160	UBERON:0001586
273	UBERON:0003712	UBERON:0007160
274	UBERON:0001673	UBERON:0003712
275	UBERON:0036300	UBERON:0001673
276	UBERON:0011193	UBERON:0003712
277	UBERON:0035547	UBERON:0011193
278	UBERON:0035231	UBERON:0003712
279	UBERON:0011192	UBERON:0003712
280	UBERON:0018256	UBERON:0011192
281	UBERON:0004689	UBERON:0011192
282	UBERON:0035547	UBERON:0011192
283	UBERON:0006634	UBERON:0001586
284	UBERON:0034965	UBERON:0001586
285	UBERON:0005475	UBERON:0001586
286	UBERON:0001641	UBERON:0005475
287	UBERON:0035530	UBERON:0006666
288	UBERON:0001672	UBERON:0035530
289	UBERON:0035532	UBERON:0035530
290	UBERON:0035152	UBERON:0006666
291	UBERON:0035150	UBERON:0001642
292	UBERON:0001670	UBERON:0001641
293	UBERON:0001664	UBERON:0001641
294	UBERON:0036074	UBERON:0001641
295	UBERON:0034981	UBERON:0001586
296	UBERON:0007157	UBERON:0001586
297	UBERON:0001589	UBERON:0003711
298	UBERON:0012200	UBERON:0001589
299	UBERON:0006662	UBERON:0001589
300	UBERON:0007155	UBERON:0001589
301	UBERON:0001590	UBERON:0003711
302	UBERON:0001587	UBERON:0003711
303	UBERON:0000985	UBERON:0001587
304	UBERON:0001411	UBERON:0000985
305	UBERON:0001414	UBERON:0001411
306	UBERON:0001413	UBERON:0000985
307	UBERON:0004561	UBERON:0001412
308	UBERON:0001106	UBERON:0000985
309	UBERON:0002088	UBERON:0000985
310	UBERON:0001420	UBERON:0000985
311	UBERON:0002089	UBERON:0000985
312	UBERON:0001101	UBERON:0001587
313	UBERON:0001104	UBERON:0001101
314	UBERON:0006199	UBERON:0001101
315	UBERON:0035249	UBERON:0001101
316	UBERON:0001588	UBERON:0003711
317	UBERON:0002080	UBERON:0002049
318	UBERON:0002333	UBERON:0002080
319	UBERON:0001652	UBERON:0002333
320	UBERON:0001651	UBERON:0002333
